Sr_No,State_,District,City,Latitude,Longitude,Crop_Year,Season,Crop,Area,Production,Avg_Temperature,Relative_Humidity,Avg_Annual_Rainfall,T_ype_of_soil
1,Andhra Pradesh,ANANTAPUR,Bathalapalli,14.65291,77.61883,2014,Rabi,Tobacco,341,635,311.15,49,381,Red soil
2,Andhra Pradesh,ANANTAPUR,Guntakal,15.17289,77.3661,2014,Rabi,Tomato,4191,87055,311.15,49,381,Red soil
3,Andhra Pradesh,ANANTAPUR,Hindupur,13.83253,77.49221,2014,Rabi,Urad,42,61,311.15,49,381,Red soil
4,Andhra Pradesh,ANANTAPUR,Kadiri,14.11309,78.15737,2014,Whole Year,Coconut,687,5756000,311.15,49,381,Red soil
5,Andhra Pradesh,ANANTAPUR,Puttaparthy,14.15189,77.77685,2016,Whole Year,Rice,29211,82532,311.15,49,381,Red soil
6,Andhra Pradesh,CHITTOOR,Chittoor,13.21718,79.10033,2016,Kharif,Arhar/Tur,6100,900,307.15,71,809,Red soil
7,Andhra Pradesh,CHITTOOR,Chittoor,13.21718,79.10033,2016,Kharif,Bajra,1700,1900,307.15,71,809,Red soil
8,Andhra Pradesh,CHITTOOR,Chittoor,13.21698,79.10076,2016,Kharif,Dry chillies,600,800,307.15,71,809,Red soil
9,Andhra Pradesh,CHITTOOR,Kuppam,12.79122,78.3639,2016,Kharif,Groundnut,234900,144200,307.15,71,809,Red soil
10,Andhra Pradesh,CHITTOOR,Madanapalli,13.21718,79.10033,2016,Kharif,Bajra,1609,1878,307.15,71,809,Red soil
11,Andhra Pradesh,EAST GODAVARI,Rajahmundry,0,0,2016,Rabi,Tobacco,3010,13721,305.15,56,2595,Alluvial Soil
12,Andhra Pradesh,EAST GODAVARI,Rajahmundry,0,0,2015,Rabi,Tomato,628,8509,305.15,56,2595,Alluvial Soil
13,Andhra Pradesh,EAST GODAVARI,Rajahmundry,17.00787,81.78521,2015,Rabi,Urad,18500,7641,305.15,56,2595,Alluvial Soil
14,Andhra Pradesh,EAST GODAVARI,Tuni,17.35494,82.54124,2015,Whole Year,Coconut,46865,7.80E+08,305.15,56,2595,Alluvial Soil
15,Andhra Pradesh,EAST GODAVARI,Tuni,0,0,2015,Whole Year,Rice,394117,1563229,305.15,56,2595,Alluvial Soil
16,Andhra Pradesh,GUNTUR,Guntur,16.29975,80.44369,2015,Kharif,Arhar/Tur,28400,14900,308.15,53,833,Black Cotton
17,Andhra Pradesh,GUNTUR,Guntur,16.30665,80.43654,2015,Kharif,Bajra,100,100,308.15,53,833,Black Cotton
18,Andhra Pradesh,GUNTUR,Guntur city,16.30665,80.43654,2015,Kharif,Castor seed,1600,300,308.15,53,833,Black Cotton
19,Andhra Pradesh,GUNTUR,Guntur city,0,0,2017,Kharif,Cotton(lint),162300,432500,308.15,53,833,Black Cotton
20,Andhra Pradesh,GUNTUR,Guntur city,0,0,2017,Kharif,Dry chillies,27100,97300,308.15,53,833,Black Cotton
21,Andhra Pradesh,GUNTUR,Guntur city,16.29882,80.44889,2017,Kharif,Groundnut,300,300,308.15,53,833,Black Cotton
22,Andhra Pradesh,KRISHNA,Vijayawada,16.55166,80.83205,2017,Summer,Bajra,1900,2400,311.15,63,974,Black Cotton
23,Andhra Pradesh,KRISHNA,Vijayawada,16.51297,80.63266,2017,Summer,Groundnut,4300,7100,311.15,63,974,Black Cotton
24,Andhra Pradesh,KRISHNA,Vijayawada,16.51031,80.63251,2017,Summer,Rice,100,500,311.15,63,974,Black Cotton
